asin,url,title,title_raw,clean_title,title_word_count,product_family,brand,brand_raw,stars,reviewsCount,price_value,price_currency,price_flag,category_root,category_leaf,breadcrumbs,description,description_length,popularity_score,product_type,is_tommee_tippee_brand,is_competitor_brand,is_compatible_accessory,is_core_bottle_listing,thumbnailImage,search_term
B0CQMHBV3R,https://www.amazon.com/dp/B0CQMHBV3R,"Tommee Tippee Natural Start 12 Piece BPA Free Bottle Set, Includes 2 x 5 oz, 3 x 9 oz, 1 x 11 oz Bottles, Newborn 0+ Months, Slow, Medium & Thicker Flow Breast-Like Nipples, Cleaning Brush, Clear","Tommee Tippee Natural Start 12 Piece BPA Free Bottle Set, Includes 2 x 5 oz, 3 x 9 oz, 1 x 11 oz Bottles, Newborn 0+ Months, Slow, Medium & Thicker Flow Breast-Like Nipples, Cleaning Brush, Clear","tommee tippee natural start 12 piece bpa free bottle set, includes 2 x 5 oz, 3 x 9 oz, 1 x 11 oz bottles, newborn 0+ months, slow, medium & thicker flow breast-like nipples, cleaning brush, clear",37,"Tommee Tippee Natural Start 12 Piece BPA Free Bottle Set, Includes 2 x , 3 x , 1 x Bottles, Newborn 0+ Months, Slow, Medium & Thicker Flow Breast-Like Nipples, Cleaning Brush",Tommee Tippee,Tommee Tippee,4.7,2410.0,24.49,$,mid,Baby Products,Bottles,Baby Products > Feeding > Bottle-Feeding > Bottles,"Tommee Tippee - caring for parents since ‘65. Trusted by three generations of parents and caregivers, we have 60 years of expertise behind us. We know what works, what doesn’t, and what you (and your baby) really need. Our purpose? To liberate and amplify the intuition of newborn parents with empathetic design. Part of becoming a parent is realizing that often, things don't quite go to plan. That’s why we anticipate problems before they’ve even happened, and design smart solutions to help. Our Natural Start and Advanced-Anti Colic baby bottles feature our signature breast-like silicone nipples that flex and stretch like a breast. Plus, they're specially designed to be sterilized in the microwave in only three minutes, helping you save time and effort. Smart solutions. Simpler parenting.",797,36.602645327451505,baby_bottle,True,False,False,True,https://m.media-amazon.com/images/I/41muBqqamzL._SY300_SX300_QL70_FMwebp_.jpg,
B00K5KVC52,https://www.amazon.com/dp/B00K5KVC52,"Tommee Tippee Natural Start Anti-Colic 9 oz BPA Free Baby Bottles, 0+ Months, Slow Flow Breast-Like Nipple, Self Sterilizing, Designed for Seamless Transition Between Bottle & Breast, Fiesta,Pack of 6","Tommee Tippee Natural Start Anti-Colic 9 oz BPA Free Baby Bottles, 0+ Months, Slow Flow Breast-Like Nipple, Self Sterilizing, Designed for Seamless Transition Between Bottle & Breast, Fiesta,Pack of 6","tommee tippee natural start anti-colic 9 oz bpa free baby bottles, 0+ months, slow flow breast-like nipple, self sterilizing, designed for seamless transition between bottle & breast, fiesta,pack of 6",30,"Tommee Tippee Natural Start Anti-Colic BPA Free Baby Bottles, 0+ Months, Slow Flow Breast-Like Nipple, Self Sterilizing, Designed for Seamless Transition Between Bottle & Breast, Fiesta",Tommee Tippee,Tommee Tippee,4.7,25753.0,22.49,$,mid,Baby Products,Bottles,Baby Products > Feeding > Bottle-Feeding > Bottles,"Our most breast-like bottle, ever. Makes switching from breast to bottle and back again, easy. •Soft, silicone nipple, that flexes and stretches like a breast •Anti-colic valve, to keep gas away from baby’s tummy •Speedy self-sterilizing, in just three minutes in the microwave* •100% leakproof with the lid (even when upside down) •It’s also BPA free *Based on placing one bottle in microwaves from 700-1000w",409,47.73482259901853,bottle_set,True,False,False,True,https://m.media-amazon.com/images/I/411dDDTfnQL._SY300_SX300_QL70_FMwebp_.jpg,
B00JU98S2Y,https://www.amazon.com/dp/B00JU98S2Y,"Tommee Tippee Natural Start Baby Bottle, 11oz, Thicker Feed, Breast-Like Nipple for Babies 6 Months+, Clear, 3 Count","Tommee Tippee Natural Start Baby Bottle, 11oz, Thicker Feed, Breast-Like Nipple for Babies 6 Months+, Clear, 3 Count","tommee tippee natural start baby bottle, 11oz, thicker feed, breast-like nipple for babies 6 months+, clear, 3 count",18,"Tommee Tippee Natural Start Baby Bottle , Thicker Feed, Breast-Like Nipple for Babies 6 Months+, , 3 Count",Tommee Tippee,Tommee Tippee,4.5,4230.0,16.5,$,mid,Baby Products,Bottles,Baby Products > Feeding > Bottle-Feeding > Bottles,"Our most breast-like bottle, ever. Makes switching from breast to bottle and back again, easy. Soft, silicone nipple, that flexes and stretches like a breast Anti-colic valve, to keep gas away from baby’s tummy. 100% leakproof with the lid (even when upside down) It’s also BPA free",282,37.575871428240305,baby_bottle,True,False,False,True,https://m.media-amazon.com/images/I/41o1Oid7UvL._SY300_SX300_QL70_FMwebp_.jpg,
B0FP5RZ2YJ,https://www.amazon.com/dp/B0FP5RZ2YJ,"Tommee Tippee Natural Start Bottle and Nipple Bundle, 6 Fiesta Color, Anti-Colic 9 oz BPA Free Baby Bottles, 0+ Months, Slow Flow Breast-Like Nipple, Baby Bottle Nipples, Extra Slow Flow, 10 Pieces","Tommee Tippee Natural Start Bottle and Nipple Bundle, 6 Fiesta Color, Anti-Colic 9 oz BPA Free Baby Bottles, 0+ Months, Slow Flow Breast-Like Nipple, Baby Bottle Nipples, Extra Slow Flow, 10 Pieces","tommee tippee natural start bottle and nipple bundle, 6 fiesta color, anti-colic 9 oz bpa free baby bottles, 0+ months, slow flow breast-like nipple, baby bottle nipples, extra slow flow, 10 pieces",32,"Tommee Tippee Natural Start Bottle and Nipple Bundle, 6 Fiesta Color, Anti-Colic BPA Free Baby Bottles, 0+ Months, Slow Flow Breast-Like Nipple, Baby Bottle Nipples, Extra Slow Flow, 10 Pieces",Tommee Tippee,Tommee Tippee,5.0,2.0,34.47,$,premium,Baby Products,Bottles,Baby Products > Feeding > Bottle-Feeding > Bottles,"Tommee Tippee - caring for parents since ‘65. Trusted by three generations of parents and caregivers, we have 60 years of expertise behind us. We know what works, what doesn’t, and what you (and your baby) really need. Our purpose? To liberate and amplify the intuition of newborn parents with empathetic design. Part of becoming a parent is realizing that often, things don't quite go to plan. That’s why we anticipate problems before they’ve even happened, and design smart solutions to help.",494,5.493061443340549,baby_bottle,True,False,False,True,https://m.media-amazon.com/images/I/41aSuuYvYaL._SY300_SX300_QL70_FMwebp_.jpg,
B0DQ66D5LD,https://www.amazon.com/dp/B0DQ66D5LD,"Tommee Tippee Insulated Sporty Spill-Proof Straw Cup, 12 Months+, 9oz, Toddler Training Sippy Cup, Sporty Carry Handle, Bite Resistant Spout, Flip Lid Keeps Straw Clean, Pack of 2, Blue and Red","Tommee Tippee Insulated Sporty Spill-Proof Straw Cup, 12 Months+, 9oz, Toddler Training Sippy Cup, Sporty Carry Handle, Bite Resistant Spout, Flip Lid Keeps Straw Clean, Pack of 2, Blue and Red","tommee tippee insulated sporty spill-proof straw cup, 12 months+, 9oz, toddler training sippy cup, sporty carry handle, bite resistant spout, flip lid keeps straw clean, pack of 2, blue and red",31,"Tommee Tippee Insulated Sporty Spill-Proof Straw Cup, 12 Months+ , Toddler Training Sippy Cup, Sporty Carry Handle, Bite Resistant Spout, Flip Lid Keeps Straw Clean, , and",Tommee Tippee,Tommee Tippee,4.2,261.0,13.79,$,mid,Baby Products,Cups,Baby Products > Feeding > Solid Feeding > Cups,"Tommee Tippee's cup collection includes training cups for weaning babies as young as six months, as well as big-kid sports bottles perfect for keeping active toddlers hydrated. Specially designed to be spill and drop-proof, these durable cups and bottles stop leaks and bring a sense of fun to every sip. They’re decorated with cute characters and trend-led colors, so if you're looking for a new cup for your baby, we've got one to suit your style.",449,23.387046915796606,cup,True,False,False,False,https://m.media-amazon.com/images/I/31rE5uKK9cL._SY300_SX300_QL70_FMwebp_.jpg,
B0CQMRLKKL,https://www.amazon.com/dp/B0CQMRLKKL,"Tommee Tippee Advanced Anti-Colic 12 Piece Set, 5 oz and 9 oz BPA Free Bottles, Newborn 0+ Months, Includes Slow & Medium-Flow Breast-Like Nipples and Bottle Handles and Cleaning Brush","Tommee Tippee Advanced Anti-Colic 12 Piece Set, 5 oz and 9 oz BPA Free Bottles, Newborn 0+ Months, Includes Slow & Medium-Flow Breast-Like Nipples and Bottle Handles and Cleaning Brush","tommee tippee advanced anti-colic 12 piece set, 5 oz and 9 oz bpa free bottles, newborn 0+ months, includes slow & medium-flow breast-like nipples and bottle handles and cleaning brush",30,"Tommee Tippee Advanced Anti-Colic 12 Piece Set and BPA Free Bottles, Newborn 0+ Months, Includes Slow & Medium-Flow Breast-Like Nipples and Bottle Handles and Cleaning Brush",Tommee Tippee,Tommee Tippee,4.6,1897.0,24.99,$,mid,Baby Products,Bottle Sets,Baby Products > Feeding > Bottle-Feeding > Bottle Sets,"Tommee Tippee - caring for parents since ‘65. Trusted by three generations of parents and caregivers, we have 60 years of expertise behind us. We know what works, what doesn’t, and what you (and your baby) really need. Our purpose? To liberate and amplify the intuition of newborn parents with empathetic design. Part of becoming a parent is realizing that often, things don't quite go to plan. That’s why we anticipate problems before they’ve even happened, and design smart solutions to help. Our Natural Start and Advanced-Anti Colic baby bottles feature our signature breast-like silicone nipples that flex and stretch like a breast. Plus, they're specially designed to be sterilized in the microwave in only three minutes, helping you save time and effort. Smart solutions. Simpler parenting.",797,34.723357504181415,baby_bottle,True,False,False,True,https://m.media-amazon.com/images/I/411iScscqDL._SY300_SX300_QL70_FMwebp_.jpg,
B007N4QZPA,https://www.amazon.com/dp/B007N4QZPA,Tommee Tippee Baby Bottle 340 ml Pack to Choose from,Tommee Tippee Baby Bottle 340 ml Pack to Choose from,tommee tippee baby bottle 340 ml pack to choose from,10,Tommee Tippee Baby Bottle Pack to Choose from,Tommee Tippee,Tommee Tippee,4.7,5306.0,25.9,$,premium,Baby Products,Bottles,Baby Products > Feeding > Bottle-Feeding > Bottles,Baby feeding bottle 340 ml,26,40.31087531929111,baby_bottle,True,False,False,True,https://m.media-amazon.com/images/I/31g-XvLUTrL._SY300_SX300_QL70_FMwebp_.jpg,
B0DQ63HVL1,https://www.amazon.com/dp/B0DQ63HVL1,"Tommee Tippee Insulated 9oz Sporty Spout Toddler Water Bottle, No Spill, Sippy Cups for Toddlers 1-3, Two-Piece Valve Helps Stop Spills, Light Blue & Orange, BPA Free, Pack of 2","Tommee Tippee Insulated 9oz Sporty Spout Toddler Water Bottle, No Spill, Sippy Cups for Toddlers 1-3, Two-Piece Valve Helps Stop Spills, Light Blue & Orange, BPA Free, Pack of 2","tommee tippee insulated 9oz sporty spout toddler water bottle, no spill, sippy cups for toddlers 1-3, two-piece valve helps stop spills, light blue & orange, bpa free, pack of 2",30,"Tommee Tippee Insulated Sporty Spout Toddler Water Bottle, No Spill, Sippy Cups for Toddlers 1-3, Two-Piece Valve Helps Stop Spills, Light & , BPA Free",Tommee Tippee,Tommee Tippee,4.6,8487.0,12.97,$,mid,Baby Products,Cups,Baby Products > Feeding > Solid Feeding > Cups,"Tommee Tippee's cup collection includes training cups for weaning babies as young as six months, as well as big-kid sports bottles perfect for keeping active toddlers hydrated. Specially designed to be spill and drop-proof, these durable cups and bottles stop leaks and bring a sense of fun to every sip. They’re decorated with cute characters and trend-led colors, so if you're looking for a new cup for your baby, we've got one to suit your style.",449,41.61347992935156,bottle_set,True,False,False,True,https://m.media-amazon.com/images/I/31ClafKXUUL._SY300_SX300_QL70_FMwebp_.jpg,
B09JYC1VR4,https://www.amazon.com/dp/B09JYC1VR4,"Tommee Tippee Natural Start Baby Bottle Nipples, Breast-Like for A Natural Latch, Anti-Colic Valve, Soft Silicone, Fast Flow, 6+ Months, Pack of 6","Tommee Tippee Natural Start Baby Bottle Nipples, Breast-Like for A Natural Latch, Anti-Colic Valve, Soft Silicone, Fast Flow, 6+ Months, Pack of 6","tommee tippee natural start baby bottle nipples, breast-like for a natural latch, anti-colic valve, soft silicone, fast flow, 6+ months, pack of 6",23,"Tommee Tippee Natural Start Baby Bottle Nipples, Breast-Like for A Natural Latch, Anti-Colic Valve, Soft Silicone, Fast Flow, 6+ Months",Tommee Tippee,Tommee Tippee,4.8,12181.0,11.69,$,mid,Baby Products,Nipples,Baby Products > Feeding > Bottle-Feeding > Nipples,"Tommee Tippee - caring for parents since ‘65. Trusted by three generations of parents and caregivers, we have 60 years of expertise behind us. We know what works, what doesn’t, and what you (and your baby) really need. Our purpose? To liberate and amplify the intuition of newborn parents with empathetic design. Part of becoming a parent is realizing that often, things don't quite go to plan. That’s why we anticipate problems before they’ve even happened, and design smart solutions to help. Tommee Tippee baby bottle nipples are crafted from ultra-soft silicone to replicate the natural feel and flexibility of a breast. Available in a range of flow rates, our Natural Start and Advanced Anti-Colic bottle nipples let babies get a natural latch, plus they're easy to clean, and always BPA-free.",798,45.15703071070286,bottle_set,True,False,False,True,https://m.media-amazon.com/images/I/410G5Ma+SEL._SY300_SX300_QL70_FMwebp_.jpg,
B09P377BXK,https://www.amazon.com/dp/B09P377BXK,"Tommee Tippee Natural Start Anti-Colic 9 oz BPA Free Baby Bottles, 0+ Months, Slow Flow Breast-Like Nipple, Self Sterilizing, Seamless Transition Between Bottle & Breast, Blue & Green, Pack of 4","Tommee Tippee Natural Start Anti-Colic 9 oz BPA Free Baby Bottles, 0+ Months, Slow Flow Breast-Like Nipple, Self Sterilizing, Seamless Transition Between Bottle & Breast, Blue & Green, Pack of 4","tommee tippee natural start anti-colic 9 oz bpa free baby bottles, 0+ months, slow flow breast-like nipple, self sterilizing, seamless transition between bottle & breast, blue & green, pack of 4",31,"Tommee Tippee Natural Start Anti-Colic BPA Free Baby Bottles, 0+ Months, Slow Flow Breast-Like Nipple, Self Sterilizing, Seamless Transition Between Bottle & Breast, &",Tommee Tippee,Tommee Tippee,4.7,25753.0,20.99,$,mid,Baby Products,Bottles,Baby Products > Feeding > Bottle-Feeding > Bottles,"Tommee Tippee - caring for parents since ‘65. Trusted by three generations of parents and caregivers, we have 60 years of expertise behind us. We know what works, what doesn’t, and what you (and your baby) really need. Our purpose? To liberate and amplify the intuition of newborn parents with empathetic design. Part of becoming a parent is realizing that often, things don't quite go to plan. That’s why we anticipate problems before they’ve even happened, and design smart solutions to help. Our Natural Start and Advanced-Anti Colic baby bottles feature our signature breast-like silicone nipples that flex and stretch like a breast. Plus, they're specially designed to be sterilized in the microwave in only three minutes, helping you save time and effort. Smart solutions. Simpler parenting.",797,47.73482259901853,bottle_set,True,False,False,True,https://m.media-amazon.com/images/I/41QgtISEEyL._SY300_SX300_QL70_FMwebp_.jpg,
